MOA,Component Type,Room Type,Building Type,Evaluator Name,Year of Service,External Wall Material,Street Number,Street Complement,Street Type,Street Name,Postal Code,Municipality,Heating Type,Apartment Type,Floor,Location Precision,Year of Construction,Number of Apartments,Number of Floors,Habitable Surface,Department Code,Asbestos Presence
0,1,32,1,11,-2.019611182596618,0,1.6686257413275054,0,2,10,-0.15573262044360017,2,0,6,-1.2761832032408114,179,-1.1542131961302546,-0.12942675384409408,3,-0.19183073810930806,0.664561439980763,0.0
0,2,32,1,11,-2.019611182596618,0,1.6686257413275054,0,2,10,-0.15573262044360017,2,0,6,-1.2761832032408114,179,-1.1542131961302546,-0.12942675384409408,3,-0.19183073810930806,0.664561439980763,0.0
0,9,32,1,11,-2.019611182596618,0,1.6686257413275054,0,2,10,-0.15573262044360017,2,0,6,-1.2761832032408114,179,-1.1542131961302546,-0.12942675384409408,3,-0.19183073810930806,0.664561439980763,0.0
2,25,78,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,50,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,71,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,12,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,13,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,15,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,16,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,12,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,48,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,71,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,13,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,67,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,14,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,48,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,15,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,16,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,12,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,48,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,48,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,13,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,15,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,12,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,14,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,13,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,16,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,71,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,48,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,55,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,6,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,24,20,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,24,5,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,15,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,71,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,16,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,14,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
2,25,13,1,15,-3.9266111370740946,0,0.2775875598417985,0,6,31,6.928738828396501,6,0,8,-1.2761832032408114,179,-2.3500803586827606,-0.12942675384409408,1,-0.19183073810930806,2.427318745050033,1.0
